unq:!name@System.system_id,unq:name@Station.station_id,unq:name@Ship.ship_id,modified
'9 CETI','Fanning Vision','Adder','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Asp','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Cobra','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Dropship','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Eagle','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Hauler','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Orca','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Python','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Sidewinder','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Type 6','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Type 7','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Type 9','2015-03-04 19:50:35'
'9 CETI','Fanning Vision','Viper','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Asp','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Cobra','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Dropship','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Eagle','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Hauler','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Orca','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Python','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Sidewinder','2015-03-04 19:50:35'
'ACHANSA','Lunan Terminal','Viper','2015-03-04 19:50:35'
'ACHENAR','Bell Terminal','Asp','2015-03-04 19:50:35'
'ACHENAR','Bell Terminal','Eagle','2015-03-04 19:50:35'
'ACHENAR','Bell Terminal','Hauler','2015-03-04 19:50:35'
'ACHENAR','Bell Terminal','Sidewinder','2015-03-04 19:50:35'
'ACHENAR','Bell Terminal','Type 7','2015-03-04 19:50:35'
'ACHENAR','MacMillan Terminal','Eagle','2015-03-04 19:50:35'
'ACHENAR','MacMillan Terminal','Hauler','2015-03-04 19:50:35'
'ACHENAR','MacMillan Terminal','Orca','2015-03-04 19:50:35'
'ACHENAR','MacMillan Terminal','Sidewinder','2015-03-04 19:50:35'
'ACHENAR','MacMillan Terminal','Viper','2015-03-04 19:50:35'
'AIABIKO','White Orbital','Anaconda','2015-03-04 19:50:35'
'AIABIKO','White Orbital','Asp','2015-03-04 19:50:35'
'AIABIKO','White Orbital','Dropship','2015-03-04 19:50:35'
'AIABIKO','White Orbital','Eagle','2015-03-04 19:50:35'
'AIABIKO','White Orbital','Hauler','2015-03-04 19:50:35'
'AIABIKO','White Orbital','Sidewinder','2015-03-04 19:50:35'
'AIABIKO','White Orbital','Type 6','2015-03-04 19:50:35'
'AIABIKO','White Orbital','Type 7','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Adder','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Anaconda','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Asp','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Cobra','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Dropship','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Orca','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Python','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Sidewinder','2015-03-04 19:50:35'
'ALIGNAK','Piserchia Port','Viper','2015-03-04 19:50:35'
'ANDERE','Malzberg Vision','Asp','2015-03-04 19:50:35'
'ANDERE','Malzberg Vision','Eagle','2015-03-04 19:50:35'
'ANDERE','Malzberg Vision','Hauler','2015-03-04 19:50:35'
'ANDERE','Malzberg Vision','Sidewinder','2015-03-04 19:50:35'
'ANDERE','Malzberg Vision','Type 7','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Adder','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Anaconda','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Asp','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Cobra','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Dropship','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Eagle','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Hauler','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Orca','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Sidewinder','2015-03-04 19:50:35'
'ANDHRIMI','Yurchikhin Station','Viper','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Adder','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Cobra','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Dropship','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Eagle','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Hauler','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Python','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Sidewinder','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Type 6','2015-03-04 19:50:35'
'ANLAVE','Hogg City','Viper','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Asp','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Cobra','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Eagle','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Hauler','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Orca','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Python','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Sidewinder','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Type 6','2015-03-04 19:50:35'
'ANLAVE','Kobayashi City','Viper','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Asp','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Cobra','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Eagle','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Hauler','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Orca','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Python','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Sidewinder','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Type 6','2015-03-04 19:50:35'
'ANLAVE','Suri Park','Viper','2015-03-04 19:50:35'
'ANNA PERENNA','Wisoff Holdings','Asp','2015-03-04 19:50:35'
'ANNA PERENNA','Wisoff Holdings','Eagle','2015-03-04 19:50:35'
'ANNA PERENNA','Wisoff Holdings','Hauler','2015-03-04 19:50:35'
'ANNA PERENNA','Wisoff Holdings','Sidewinder','2015-03-04 19:50:35'
'ANNA PERENNA','Wisoff Holdings','Type 7','2015-03-04 19:50:35'
'ANNA PERENNA','Wisoff Holdings','Type 9','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Cobra','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Dropship','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Eagle','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Orca','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Python','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Sidewinder','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Type 7','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Type 9','2015-03-04 19:50:35'
'AO QIN','Brunner Horizons','Viper','2015-03-04 19:50:35'
'APTET','Torricelli Port','Dropship','2015-03-04 19:50:35'
'APTET','Torricelli Port','Hauler','2015-03-04 19:50:35'
'APTET','Torricelli Port','Sidewinder','2015-03-04 19:50:35'
'APTET','Torricelli Port','Type 6','2015-03-04 19:50:35'
'APTET','Torricelli Port','Type 7','2015-03-04 19:50:35'
'APTET','Torricelli Port','Type 9','2015-03-04 19:50:35'
'ARABH','Cleve Orbital','Adder','2015-03-04 19:50:35'
'ARABH','Cleve Orbital','Eagle','2015-03-04 19:50:35'
'ARABH','Cleve Orbital','Hauler','2015-03-04 19:50:35'
'ARABH','Cleve Orbital','Sidewinder','2015-03-04 19:50:35'
'ARABH','Cleve Orbital','Type 9','2015-03-04 19:50:35'
'ATTACATES','Buckell Ring','Cobra','2015-03-04 19:50:35'
'ATTACATES','Buckell Ring','Eagle','2015-03-04 19:50:35'
'ATTACATES','Buckell Ring','Sidewinder','2015-03-04 19:50:35'
'ATTACATES','Buckell Ring','Type 6','2015-03-04 19:50:35'
'ATTACATES','Buckell Ring','Type 7','2015-03-04 19:50:35'
'BAST','Hart Station','Cobra','2015-03-04 19:50:35'
'BAST','Hart Station','Eagle','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Cobra','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Dropship','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Eagle','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Hauler','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Orca','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Python','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Sidewinder','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Type 6','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Type 9','2015-03-04 19:50:35'
'BD+56 1773','Bertin City','Viper','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Adder','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Asp','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Cobra','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Dropship','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Eagle','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Hauler','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Orca','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Python','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Sidewinder','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Type 6','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Type 7','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Type 9','2015-03-04 19:50:35'
'BHRITZAMENO','Feynman Terminal','Viper','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Adder','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Cobra','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Dropship','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Eagle','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Hauler','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Sidewinder','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Type 6','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Type 7','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Type 9','2015-03-04 19:50:35'
'BUNUVIVIA','Ellison Enterprise','Viper','2015-03-04 19:50:35'
'CALOR','Julian Hub','Adder','2015-03-04 19:50:35'
'CALOR','Julian Hub','Hauler','2015-03-04 19:50:35'
'CALOR','Julian Hub','Sidewinder','2015-03-04 19:50:35'
'CALOR','Julian Hub','Type 6','2015-03-04 19:50:35'
'CALOR','Julian Hub','Type 9','2015-03-04 19:50:35'
'CALOR','Julian Hub','Viper','2015-03-04 19:50:35'
'CAUANI','Hardy City','Asp','2015-03-04 19:50:35'
'CAUANI','Hardy City','Eagle','2015-03-04 19:50:35'
'CAUANI','Hardy City','Hauler','2015-03-04 19:50:35'
'CAUANI','Hardy City','Sidewinder','2015-03-04 19:50:35'
'CAUANI','Hardy City','Type 7','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Adder','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Asp','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Cobra','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Dropship','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Eagle','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Hauler','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Orca','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Python','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Sidewinder','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Type 6','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Type 7','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Type 9','2015-03-04 19:50:35'
'CERNO','Kanwar Enterprise','Viper','2015-03-04 19:50:35'
'DIMOCO','Edison Orbital','Cobra','2015-03-04 19:50:35'
'DIMOCO','Edison Orbital','Type 6','2015-03-04 19:50:35'
'DIMOCO','Edison Orbital','Type 9','2015-03-04 19:50:35'
'DIMOCO','Meitner Ring','Eagle','2015-03-04 19:50:35'
'DIMOCO','Meitner Ring','Orca','2015-03-04 19:50:35'
'DIMOCO','Meitner Ring','Sidewinder','2015-03-04 19:50:35'
'DJAUJAS','Von Krusenstern Enterprise','Adder','2015-03-04 19:50:35'
'DJAUJAS','Von Krusenstern Enterprise','Cobra','2015-03-04 19:50:35'
'DJAUJAS','Von Krusenstern Enterprise','Eagle','2015-03-04 19:50:35'
'DJAUJAS','Von Krusenstern Enterprise','Hauler','2015-03-04 19:50:35'
'DJAUJAS','Von Krusenstern Enterprise','Sidewinder','2015-03-04 19:50:35'
'DJAUJAS','Von Krusenstern Enterprise','Type 7','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Adder','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Cobra','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Dropship','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Eagle','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Hauler','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Sidewinder','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Type 6','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Type 7','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Type 9','2015-03-04 19:50:35'
'DJENDELIS','Atwater Enterprise','Viper','2015-03-04 19:50:35'
'ERAVATE','Ackerman Market','Eagle','2015-03-04 19:50:35'
'ERAVATE','Ackerman Market','Hauler','2015-03-04 19:50:35'
'ERAVATE','Ackerman Market','Sidewinder','2015-03-04 19:50:35'
'ERAVATE','Ackerman Market','Type 6','2015-03-04 19:50:35'
'ERAVATE','Cleve Hub','Cobra','2015-03-04 19:50:35'
'ERAVATE','Cleve Hub','Eagle','2015-03-04 19:50:35'
'ERAVATE','Cleve Hub','Hauler','2015-03-04 19:50:35'
'ERAVATE','Cleve Hub','Sidewinder','2015-03-04 19:50:35'
'ERAVATE','Cleve Hub','Type 6','2015-03-04 19:50:35'
'ERAVATE','Russell Ring','Cobra','2015-03-04 19:50:35'
'ERAVATE','Russell Ring','Eagle','2015-03-04 19:50:35'
'ERAVATE','Russell Ring','Hauler','2015-03-04 19:50:35'
'ERAVATE','Russell Ring','Sidewinder','2015-03-04 19:50:35'
'ERAVATE','Russell Ring','Type 6','2015-03-04 19:50:35'
'ETA DRACONIS','Alvares Terminal','Adder','2015-03-04 19:50:35'
'ETA DRACONIS','Alvares Terminal','Eagle','2015-03-04 19:50:35'
'ETA DRACONIS','Alvares Terminal','Hauler','2015-03-04 19:50:35'
'ETA DRACONIS','Alvares Terminal','Sidewinder','2015-03-04 19:50:35'
'ETA DRACONIS','Alvares Terminal','Viper','2015-03-04 19:50:35'
'ETA DRACONIS','Fisk Port','Adder','2015-03-04 19:50:35'
'ETA DRACONIS','Fisk Port','Eagle','2015-03-04 19:50:35'
'ETA DRACONIS','Fisk Port','Hauler','2015-03-04 19:50:35'
'ETA DRACONIS','Fisk Port','Sidewinder','2015-03-04 19:50:35'
'ETA DRACONIS','Fisk Port','Viper','2015-03-04 19:50:35'
'ETA DRACONIS','Swift Terminal','Asp','2015-03-04 19:50:35'
'ETA DRACONIS','Swift Terminal','Cobra','2015-03-04 19:50:35'
'ETA DRACONIS','Swift Terminal','Sidewinder','2015-03-04 19:50:35'
'ETA DRACONIS','Swift Terminal','Type 6','2015-03-04 19:50:35'
'ETA DRACONIS','Swift Terminal','Type 9','2015-03-04 19:50:35'
'FK5 2550','Julian Gateway','Asp','2015-03-04 19:50:35'
'FK5 2550','Julian Gateway','Dropship','2015-03-04 19:50:35'
'FK5 2550','Julian Gateway','Hauler','2015-03-04 19:50:35'
'FK5 2550','Julian Gateway','Sidewinder','2015-03-04 19:50:35'
'FK5 2550','Julian Gateway','Type 7','2015-03-04 19:50:35'
'FK5 2550','Julian Gateway','Type 9','2015-03-04 19:50:35'
'FK5 2550','Samokutyayev Dock','Cobra','2015-03-04 19:50:35'
'FK5 2550','Samokutyayev Dock','Dropship','2015-03-04 19:50:35'
'FK5 2550','Samokutyayev Dock','Hauler','2015-03-04 19:50:35'
'FK5 2550','Samokutyayev Dock','Python','2015-03-04 19:50:35'
'FK5 2550','Samokutyayev Dock','Sidewinder','2015-03-04 19:50:35'
'FK5 2550','Samokutyayev Dock','Type 6','2015-03-04 19:50:35'
